c1,c2,c1_height,c2_height,lcs_height,wupalmer
Parc-Extension,Latin,2,9,2,0.36363636363636365
Parc-Extension,Mediterranean,2,5,2,0.5714285714285714
Parc-Extension,Crmazie,2,2,1,0.5
Parc-Extension,Parc-Extension,2,2,2,1.0
Parc-Extension,South Asian,2,5,2,0.5714285714285714
Parc-Extension,Villeray,2,1,1,0.6666666666666666
Parc-Extension,Gabriel-Sagard,2,2,1,0.5
Parc-Extension,Sainte-Lucie,2,2,1,0.5
Parc-Extension,Ren-Goupil,2,2,1,0.5
Parc-Extension,Parc-Jarry,2,2,1,0.5
Parc-Extension,Franois-Perrault,2,2,1,0.5
South Asian,French,5,7,4,0.6666666666666666
South Asian,African,5,6,3,0.5454545454545454
South Asian,Italian,5,6,3,0.5454545454545454
South Asian,Pizza,5,7,3,0.5
South Asian,South-East Asian,5,8,4,0.6153846153846154
South Asian,Caf,5,8,4,0.6153846153846154
South Asian,Middle Eastern,5,9,4,0.5714285714285714
South Asian,Fast Food,5,8,4,0.6153846153846154
South Asian,Iberian,5,6,3,0.5454545454545454
South Asian,East Asian,5,7,3,0.5
South Asian,Latin,5,9,4,0.5714285714285714
South Asian,Mediterranean,5,5,2,0.4
South Asian,Crmazie,5,2,1,0.2857142857142857
South Asian,Parc-Extension,5,2,2,0.5714285714285714
South Asian,South Asian,5,5,5,1.0
South Asian,Villeray,5,1,1,0.3333333333333333
South Asian,Gabriel-Sagard,5,2,1,0.2857142857142857
South Asian,Sainte-Lucie,5,2,2,0.5714285714285714
South Asian,Ren-Goupil,5,2,1,0.2857142857142857
South Asian,Parc-Jarry,5,2,2,0.5714285714285714
South Asian,Franois-Perrault,5,2,1,0.2857142857142857
Villeray,French,1,7,1,0.25
Villeray,African,1,6,1,0.2857142857142857
Villeray,Italian,1,6,1,0.2857142857142857
Villeray,Pizza,1,7,1,0.25
Villeray,South-East Asian,1,8,1,0.2222222222222222
Villeray,Caf,1,8,1,0.2222222222222222
Villeray,Middle Eastern,1,9,1,0.2
Villeray,Fast Food,1,8,1,0.2222222222222222
Villeray,Iberian,1,6,1,0.2857142857142857
Villeray,East Asian,1,7,1,0.25
Villeray,Latin,1,9,1,0.2
Villeray,Mediterranean,1,5,1,0.3333333333333333
Villeray,Crmazie,1,2,1,0.6666666666666666
Villeray,Parc-Extension,1,2,1,0.6666666666666666
Villeray,South Asian,1,5,1,0.3333333333333333
Villeray,Villeray,1,1,1,1.0
Villeray,Gabriel-Sagard,1,2,1,0.6666666666666666
Villeray,Sainte-Lucie,1,2,1,0.6666666666666666
Villeray,Ren-Goupil,1,2,1,0.6666666666666666
